TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
woodlands,180B,marsiling road,732180,1.439057,103.77835,31,woodlands west,woodlands,north region,803.3,1381.6,1356.8,517.0,1349.8
bukit panjang,225,pending road,670225,1.37554,103.772545,12,bangkit,bukit panjang,west region,4848.8,1522.7,710.8,1163.4,1814.9
jurong west,932,jurong west street 92,640932,1.341752,103.688664,13,yunnan,jurong west,west region,3598.3,1427.8,494.0,460.0,1433.9
jurong west,658D,jurong west street 65,644658,1.337217,103.700758,16,jurong west central,jurong west,west region,2044.4,414.7,227.0,586.8,723.7
sengkang,156,rivervale crescent,540156,1.391109,103.907428,17,rivervale,sengkang,north-east region,4846.8,1456.1,483.3,887.7,1045.0
clementi,603,clementi west street 1,120603,1.304789,103.767329,4,clementi woods,clementi,west region,377.0,1408.5,1797.2,565.1,270.9
tampines,346,tampines street 33,520346,1.351238,103.962571,10,tampines east,tampines,east region,2940.5,1411.6,329.4,762.1,1698.4
punggol,274D,punggol place,824274,1.403034,103.901689,16,matilda,punggol,north-east region,6427.3,700.3,769.0,708.3,1159.2
bukit merah,95A,henderson road,151095,1.286493,103.821434,40,henderson hill,bukit merah,central region,126.1,906.4,877.3,1208.6,1007.9
queenstown,161,mei ling street,140161,1.291544,103.803508,20,mei chin,queenstown,central region,288.6,626.5,889.1,1376.7,992.5
tampines,366,tampines street 34,520366,1.357618,103.961379,10,tampines east,tampines,east region,2936.2,888.1,829.8,413.1,1617.5
sengkang,278C,compassvale bow,543278,1.382864,103.890986,17,compassvale,sengkang,north-east region,3544.6,415.4,88.1,1116.9,1340.3
clementi,113,clementi street 13,120113,1.323684,103.770132,13,sunset way,clementi,west region,1318.9,1152.2,1384.8,1570.2,1530.6
bedok,76,bedok north road,460076,1.328297,103.942068,14,bedok north,bedok,east region,613.9,1120.7,1022.7,745.6,1947.9
pasir ris,199,pasir ris street 12,510199,1.367343,103.959676,13,pasir ris drive,pasir ris,east region,4231.3,847.0,713.8,514.8,801.9
queenstown,23,dover crescent,130023,1.307436,103.783629,12,dover,queenstown,central region,1147.8,776.1,1176.2,904.5,669.1
woodlands,745,woodlands circle,730745,1.442158,103.795609,12,woodlands east,woodlands,north region,2437.1,885.7,423.9,204.6,1590.8
bukit batok,443B,bukit batok west avenue 8,652443,1.356123,103.737831,14,brickworks,bukit batok,west region,1657.1,567.1,1125.9,1394.9,2086.1
tampines,889,tampines street 81,520889,1.349913,103.931049,13,tampines west,tampines,east region,2597.6,1271.8,785.2,809.8,1506.4
hougang,655,hougang avenue 8,530655,1.373047,103.881936,17,hougang west,hougang,north-east region,2272.2,1384.5,577.4,182.3,1859.3
yishun,220,yishun street 21,760220,1.433617,103.835244,8,northland,yishun,north region,1274.1,527.9,358.5,455.1,841.2
tampines,109,simei street 1,520109,1.342258,103.950128,11,simei,tampines,east region,1750.9,628.7,765.5,966.6,774.8
bukit merah,50,hoy fatt road,150050,1.287877,103.811441,12,alexandra hill,bukit merah,central region,769.0,1267.7,1250.8,917.6,1368.3
kallang/whampoa,44,jalan bahagia,320044,1.327409,103.857231,2,balestier,novena,central region,827.9,1513.3,1113.4,905.6,2051.8
clementi,418,clementi avenue 1,120418,1.310176,103.770003,28,clementi woods,clementi,west region,1098.5,1047.8,1212.8,477.8,1108.8
sengkang,313C,anchorvale road,543313,1.391839,103.887996,16,anchorvale,sengkang,north-east region,4967.2,1117.5,458.6,613.0,1128.4
geylang,43,sims drive,380043,1.317161,103.876583,12,aljunied,geylang,central region,631.3,1120.5,1581.9,1097.5,2235.8
choa chu kang,409,choa chu kang avenue 3,680409,1.38113,103.741877,14,peng siang,choa chu kang,west region,5496.1,465.0,482.9,925.2,2435.9
geylang,17A,circuit road,371017,1.329892,103.888113,19,macpherson,geylang,central region,365.9,550.9,1326.8,1716.9,3640.6
marine parade,55,marine terrace,440055,1.305424,103.914005,16,marine parade,marine parade,central region,280.2,320.1,422.4,650.3,1243.5
geylang,47,jalan tiga,390047,1.308761,103.885032,19,aljunied,geylang,central region,123.2,482.0,624.4,609.7,1561.6
jurong west,435,jurong west street 42,640435,1.35211,103.723688,4,hong kah,jurong west,west region,1272.4,1514.9,1131.5,318.2,3225.8
tampines,311,tampines street 33,520311,1.353304,103.957435,12,tampines east,tampines,east region,2150.8,706.7,606.1,538.0,917.0
jurong west,654B,jurong west street 61,642654,1.336161,103.69794,16,jurong west central,jurong west,west region,2457.3,372.9,293.1,576.6,746.6
central area,3,tanjong pagar plaza,081003,1.275619,103.842431,24,chinatown,outram,central region,157.7,461.7,619.3,1777.7,492.8
punggol,162A,punggol central,821162,1.396366,103.91425,19,punggol field,punggol,north-east region,5891.0,447.6,453.9,464.5,426.3
bukit merah,4B,boon tiong road,165004,1.286589,103.83195,21,tiong bahru,bukit merah,central region,309.0,319.5,943.6,1077.6,686.2
bedok,188C,bedok north street 4,463188,1.331803,103.940786,16,bedok north,bedok,east region,346.5,1411.2,520.5,184.3,2266.8
toa payoh,6,lorong 7 toa payoh,310006,1.338583,103.857192,25,pei chun,toa payoh,central region,379.8,1447.7,288.5,610.9,1823.2
jurong west,832,jurong west street 81,640832,1.344024,103.69522,11,yunnan,jurong west,west region,2859.5,867.6,1020.2,1419.5,694.0
kallang/whampoa,84,whampoa drive,320084,1.32319,103.857028,20,balestier,novena,central region,436.0,1042.9,488.2,706.7,1911.8
bishan,136,bishan street 12,570136,1.344134,103.85174,9,bishan east,bishan,central region,930.6,1270.3,952.6,391.1,1085.9
queenstown,170,stirling road,140170,1.290909,103.803108,16,mei chin,queenstown,central region,658.1,657.5,920.1,1392.3,620.4
woodlands,544,woodlands drive 16,730544,1.428619,103.793093,12,woodlands south,woodlands,north region,2420.4,339.5,729.3,482.7,1737.2
yishun,745,yishun street 72,760745,1.429313,103.833492,12,yishun west,yishun,north region,942.0,866.4,530.2,860.8,938.6
sengkang,152,rivervale crescent,540152,1.391778,103.906213,17,rivervale,sengkang,north-east region,4866.1,1552.5,257.2,650.0,1263.3
bedok,129,bedok north street 2,460129,1.327554,103.93803,14,bedok north,bedok,east region,721.2,1199.9,952.6,887.3,1502.7
pasir ris,416,pasir ris drive 6,510416,1.371637,103.955621,13,pasir ris drive,pasir ris,east region,4708.8,1570.9,502.5,778.1,726.2
kallang/whampoa,33,jalan bahagia,320033,1.326612,103.858436,10,balestier,novena,central region,1021.0,1389.6,989.6,781.9,2214.9
bukit panjang,205,petir road,670205,1.37343,103.773924,12,bangkit,bukit panjang,west region,4539.9,1505.9,773.0,1456.2,2108.5
choa chu kang,431,choa chu kang avenue 4,680431,1.384038,103.741773,15,peng siang,choa chu kang,west region,5668.4,378.8,886.8,700.8,2444.7
yishun,716,yishun street 71,760716,1.426211,103.827704,10,yishun west,yishun,north region,980.5,1159.8,374.2,252.4,1232.0
geylang,349,ubi avenue 1,400349,1.325828,103.900581,12,kampong ubi,geylang,central region,1850.9,900.3,691.7,281.4,3673.5
toa payoh,9,lorong 7 toa payoh,310009,1.337505,103.857839,11,pei chun,toa payoh,central region,373.5,1565.7,368.0,695.6,1907.8
tampines,876,tampines street 84,520876,1.353075,103.931318,12,tampines west,tampines,east region,2758.5,1446.1,933.4,558.1,1266.0
yishun,825,yishun street 81,760825,1.414439,103.832774,12,yishun south,yishun,north region,2683.8,625.5,1176.6,742.9,2045.5
jurong west,485,jurong west avenue 1,640485,1.348347,103.727243,12,hong kah,jurong west,west region,1077.5,1123.7,918.0,368.2,2904.5
bukit panjang,217,petir road,670217,1.374909,103.773548,12,bangkit,bukit panjang,west region,4741.5,1549.2,816.3,1499.4,2151.7
punggol,315A,punggol way,821315,1.408317,103.897053,18,punggol town centre,punggol,north-east region,6767.7,1058.2,627.1,404.4,953.2
serangoon,241,serangoon avenue 3,550241,1.352882,103.870237,11,serangoon central,serangoon,north-east region,1560.8,797.3,539.1,560.8,436.3
hougang,960,hougang avenue 9,530960,1.377103,103.878483,15,trafalgar,hougang,north-east region,2730.0,1305.9,644.3,522.0,2272.7
bukit merah,161,bukit merah central,150161,1.283912,103.816006,4,bukit merah,bukit merah,central region,188.2,1642.8,838.1,838.1,1663.4
pasir ris,452,pasir ris drive 6,510452,1.371485,103.957361,12,pasir ris drive,pasir ris,east region,4672.2,1517.4,419.4,710.3,829.7
punggol,128A,punggol field walk,821128,1.393542,103.912428,17,punggol field,punggol,north-east region,5456.4,688.9,497.0,501.1,118.7
sengkang,258C,compassvale road,543258,1.393396,103.897573,15,sengkang town centre,sengkang,north-east region,4849.0,625.6,715.8,474.1,582.5
jurong east,275,toh guan road,600275,1.341062,103.747964,10,toh guan,jurong east,west region,1587.3,892.2,1113.9,1159.8,723.4
tampines,318,tampines street 33,520318,1.351461,103.956075,10,tampines east,tampines,east region,2101.7,900.0,791.3,773.9,867.9
choa chu kang,790,choa chu kang north 6,680790,1.39593,103.749731,18,choa chu kang north,choa chu kang,west region,7298.1,457.3,567.0,970.8,2747.5
kallang/whampoa,54,geylang bahru,330054,1.323884,103.867865,25,geylang bahru,kallang,central region,580.8,601.6,870.7,1353.2,2582.4
hougang,937,hougang street 92,530937,1.374745,103.879297,14,trafalgar,hougang,north-east region,2572.2,1151.7,743.0,620.6,2027.8
jurong west,416,jurong west street 42,640416,1.352426,103.725925,12,hong kah,jurong west,west region,1595.6,1787.1,1537.4,554.7,3455.8
punggol,101A,punggol field,821101,1.397946,103.905945,16,punggol field,punggol,north-east region,5815.5,1366.7,425.6,732.7,1034.4
punggol,211A,punggol walk,821211,1.40176,103.899944,16,matilda,punggol,north-east region,6479.3,882.0,214.6,847.6,999.3
toa payoh,214,lorong 8 toa payoh,310214,1.341834,103.854371,18,lorong 8 toa payoh,toa payoh,central region,955.0,2032.7,863.7,1049.8,2114.0
kallang/whampoa,32,jalan bahagia,320032,1.326132,103.858097,10,balestier,novena,central region,1010.8,1379.3,979.4,771.7,2289.6
serangoon,408,serangoon avenue 1,550408,1.347247,103.873453,13,upper paya lebar,serangoon,north-east region,2336.6,535.9,1168.6,597.6,783.5
kallang/whampoa,25A,saint george's lane,321025,1.321837,103.861839,34,bendemeer,kallang,central region,818.1,546.6,643.1,394.8,1749.8
sengkang,455B,sengkang west avenue,792455,1.392016,103.870248,13,fernvale,sengkang,north-east region,3657.2,3146.3,658.7,1381.9,885.0
geylang,2A,geylang serai,403002,1.316996,103.897749,19,geylang east,geylang,central region,17.4,758.3,979.8,824.7,1568.3
toa payoh,127,potong pasir avenue 1,350127,1.335034,103.865506,4,potong pasir,toa payoh,central region,1545.4,799.0,787.4,739.6,2840.2
sengkang,189B,rivervale drive,542189,1.395796,103.90363,16,rivervale,sengkang,north-east region,5462.4,1611.6,384.1,974.1,1568.5
toa payoh,100,lorong 1 toa payoh,310100,1.339564,103.848586,16,braddell,toa payoh,central region,419.8,390.8,753.9,831.4,1269.6
sengkang,277A,compassvale link,541277,1.381864,103.894481,15,compassvale,sengkang,north-east region,3603.4,516.9,247.7,844.9,1346.3
tampines,310,tampines street 32,520310,1.353463,103.957113,12,tampines east,tampines,east region,2138.6,694.6,675.0,564.1,904.9
bedok,664,jalan damai,410664,1.334149,103.909006,14,kaki bukit,bedok,east region,1116.7,107.6,477.1,1553.0,3396.9
bukit batok,306,bukit batok street 31,650306,1.358288,103.74752,4,hong kah north,bukit batok,west region,2524.5,716.4,316.9,1044.9,1020.6
pasir ris,544,pasir ris street 51,510544,1.368981,103.952194,13,pasir ris central,pasir ris,east region,4185.5,620.4,952.4,762.3,1330.9
jurong west,452,jurong west street 42,640452,1.351583,103.718516,16,hong kah,jurong west,west region,763.9,1425.4,918.9,615.5,2631.6
woodlands,411,woodlands street 41,730411,1.428514,103.77282,12,woodgrove,woodlands,north region,1526.3,1092.0,911.4,1138.1,2228.2
ang mo kio,348,ang mo kio avenue 3,560348,1.366198,103.8479,12,townsville,ang mo kio,north-east region,726.5,615.5,353.0,616.2,588.4
sembawang,338,sembawang crescent,750338,1.445775,103.815316,16,sembawang central,sembawang,north region,2943.4,903.7,904.6,412.5,858.0
bukit batok,136,bukit batok west avenue 6,650136,1.3509,103.744858,13,bukit batok west,bukit batok,west region,1865.4,1088.0,814.7,884.1,926.3
jurong west,663A,jurong west street 65,641663,1.338531,103.701545,16,jurong west central,jurong west,west region,1848.2,584.4,434.9,512.7,717.9
bukit merah,18,cantonment close,080018,1.273901,103.839417,30,everton park,bukit merah,central region,761.9,535.1,378.8,2015.5,1068.2
toa payoh,38,lorong 5 toa payoh,310038,1.335341,103.854859,11,boon teck,toa payoh,central region,274.0,1117.8,856.4,572.4,1270.2
bukit timah,5,toh yi drive,590005,1.338202,103.774523,13,anak bukit,bukit timah,central region,529.1,527.4,838.2,3173.0,2801.0
jurong west,138D,yuan ching road,614138,1.32846,103.723288,22,taman jurong,jurong west,west region,911.2,2079.2,1458.1,352.2,2943.6
sengkang,216A,compassvale drive,541216,1.390787,103.893415,16,sengkang town centre,sengkang,north-east region,4458.2,250.0,758.4,843.3,293.2
tampines,608C,tampines north drive 1,523608,1.363115,103.936403,15,tampines north,tampines,east region,3113.3,1227.3,538.4,1492.1,1833.3
hougang,372,hougang street 31,530372,1.36299,103.890464,18,lorong ah soo,hougang,north-east region,1055.7,921.0,1032.7,1008.6,951.6
hougang,995C,buangkok crescent,536995,1.386185,103.882969,16,trafalgar,hougang,north-east region,3988.4,1574.2,1198.0,1123.1,1602.3
geylang,350,ubi avenue 1,400350,1.325804,103.901292,4,kampong ubi,geylang,central region,1823.4,872.8,664.2,253.9,3646.0
punggol,315B,punggol way,822315,1.407956,103.896401,18,punggol town centre,punggol,north-east region,6731.4,1034.6,603.5,292.6,971.3
bukit merah,10,jalan rumah tinggi,150010,1.2882,103.808369,4,alexandra hill,bukit merah,central region,323.7,1201.6,1428.5,854.4,762.7
bukit merah,102,henderson crescent,150102,1.290366,103.821577,14,henderson hill,bukit merah,central region,694.6,768.5,679.6,724.2,1113.6
bedok,123,bedok reservoir road,470123,1.33232,103.910395,12,kaki bukit,bedok,east region,943.3,414.0,303.7,1472.2,3223.5
woodlands,302,woodlands street 31,730302,1.431511,103.774428,4,woodgrove,woodlands,north region,867.2,601.5,729.0,478.8,1569.0
jurong west,625,jurong west street 61,640625,1.34152,103.698797,16,jurong west central,jurong west,west region,2129.1,753.4,471.8,692.9,270.0
bukit panjang,614,senja road,670614,1.384549,103.760866,19,senja,bukit panjang,west region,5907.2,1005.2,187.7,601.1,777.9
pasir ris,568,pasir ris street 51,510568,1.368749,103.948913,13,pasir ris central,pasir ris,east region,3955.2,482.7,1080.6,391.4,1445.8
jurong east,303,jurong east street 32,600303,1.344856,103.735622,9,yuhua west,jurong east,west region,517.9,863.9,705.1,1163.3,1864.8
ang mo kio,338,ang mo kio avenue 1,560338,1.363896,103.848987,2,townsville,ang mo kio,north-east region,316.8,895.7,379.7,656.8,943.6
bedok,710,bedok reservoir road,470710,1.335574,103.92382,12,bedok reservoir,bedok,east region,1032.9,936.0,947.1,599.8,1860.9
punggol,663B,punggol drive,822663,1.400771,103.917349,18,waterway east,punggol,north-east region,6500.4,971.0,437.2,963.1,761.8
bukit merah,132,jalan bukit merah,160132,1.278738,103.828304,10,kampong tiong bahru,bukit merah,central region,436.7,1107.0,931.8,1291.4,1124.7
sengkang,157B,rivervale crescent,542157,1.387631,103.908233,18,rivervale,sengkang,north-east region,4491.6,1426.5,769.6,870.1,1328.0
pasir ris,762,pasir ris street 71,510762,1.37567,103.933932,15,pasir ris west,pasir ris,east region,5109.1,1313.2,90.3,2864.4,3067.4
kallang/whampoa,2,beach road,190002,1.304033,103.864928,16,crawford,kallang,central region,215.4,739.4,2338.5,737.1,933.4
kallang/whampoa,103,jalan rajah,321103,1.327341,103.852781,25,balestier,novena,central region,806.3,1346.7,1433.5,1501.9,1504.8
bukit panjang,249,bangkit road,670249,1.381002,103.774055,12,bangkit,bukit panjang,west region,5728.4,1894.7,442.8,1532.8,1924.3
tampines,838,tampines street 82,520838,1.350853,103.93538,13,tampines west,tampines,east region,2182.6,870.2,357.6,593.8,927.0
woodlands,899C,woodlands drive 50,732899,1.43657,103.795261,11,midview,woodlands,north region,2225.6,997.7,546.2,774.5,1365.9
toa payoh,36,lorong 5 toa payoh,310036,1.334821,103.855273,25,boon teck,toa payoh,central region,454.7,1094.2,894.1,588.2,1313.6
queenstown,149,mei ling street,140149,1.2948,103.804609,16,mei chin,queenstown,central region,593.9,476.7,739.3,1143.0,1220.2
tampines,842H,tampines street 82,528842,1.351617,103.937071,16,tampines west,tampines,east region,2411.6,1204.5,691.9,928.1,964.7
bedok,69,bedok south avenue 3,460069,1.31935,103.943632,10,bedok south,bedok,east region,1120.9,620.4,568.9,617.6,2386.7
hougang,7,hougang avenue 3,530007,1.362327,103.893511,5,kangkar,hougang,north-east region,1175.0,711.1,918.8,1049.1,1110.1
woodlands,549,woodlands drive 44,730549,1.431786,103.794485,12,woodlands south,woodlands,north region,2171.5,617.9,613.1,754.6,1345.7
ang mo kio,208,ang mo kio avenue 1,560208,1.365445,103.842715,12,shangri-la,ang mo kio,north-east region,662.0,655.6,1062.3,749.2,1435.7
bedok,608,bedok reservoir road,470608,1.331841,103.913196,11,kaki bukit,bedok,east region,394.8,864.2,436.4,1764.7,2640.3
jurong west,839,jurong west street 81,640839,1.343579,103.692772,15,yunnan,jurong west,west region,2927.8,910.0,615.6,960.4,763.4
bukit merah,18,telok blangah crescent,090018,1.27791,103.822536,14,telok blangah way,bukit merah,central region,504.0,1300.3,609.4,373.7,1332.9
sengkang,153,rivervale crescent,540153,1.39134,103.90658,17,rivervale,sengkang,north-east region,4802.8,1611.1,320.6,713.4,1200.0
geylang,45,sims drive,380045,1.317337,103.878443,13,aljunied,geylang,central region,212.1,725.2,1169.1,716.8,2325.3
hougang,683,hougang avenue 8,530683,1.373313,103.886368,4,hougang west,hougang,north-east region,2200.0,1095.2,618.9,376.4,1208.9
hougang,993B,buangkok link,532993,1.385078,103.88269,16,trafalgar,hougang,north-east region,3773.2,1664.7,1066.2,1009.1,1697.9
pasir ris,500,pasir ris street 52,510500,1.376025,103.945946,14,pasir ris central,pasir ris,east region,4418.6,831.0,413.1,1627.1,1461.5
ang mo kio,573,ang mo kio avenue 3,560573,1.370561,103.854823,13,cheng san,ang mo kio,north-east region,350.5,713.7,416.6,844.9,777.5
choa chu kang,297D,choa chu kang avenue 2,684297,1.378107,103.743046,16,keat hong,choa chu kang,west region,4993.8,574.9,159.9,993.9,2316.5
hougang,988A,buangkok green,531988,1.379468,103.877266,20,trafalgar,hougang,north-east region,2867.3,1435.4,839.9,793.4,1798.0
punggol,268B,punggol field,822268,1.403782,103.8973,16,matilda,punggol,north-east region,6076.5,871.8,372.5,809.5,939.9
jurong west,944,jurong west street 91,640944,1.344602,103.689713,12,yunnan,jurong west,west region,3760.1,1727.6,327.9,814.7,1595.7
serangoon,234,serangoon avenue 3,550234,1.3548,103.869534,12,serangoon central,serangoon,north-east region,1474.6,1019.0,862.6,833.7,667.8
choa chu kang,103,teck whye lane,680103,1.377131,103.753556,9,teck whye,choa chu kang,west region,4990.7,1212.7,1233.0,1093.5,1113.7
punggol,623B,punggol central,822623,1.399359,103.911837,18,waterway east,punggol,north-east region,6211.3,816.5,325.8,388.3,559.0
jurong west,183,yung sheng road,610183,1.33324,103.722684,18,taman jurong,jurong west,west region,315.1,1691.5,959.9,549.9,2455.8
woodlands,690D,woodlands drive 75,734690,1.442616,103.807852,15,woodlands east,woodlands,north region,3403.5,1083.3,875.3,1090.4,1918.6
woodlands,361,woodlands avenue 5,730361,1.433907,103.784819,12,woodgrove,woodlands,north region,965.9,545.1,326.2,1136.1,278.5
woodlands,320,woodlands street 32,730320,1.431544,103.778095,4,woodgrove,woodlands,north region,463.8,541.5,592.4,32.7,1159.0
bishan,132,bishan street 12,570132,1.345663,103.851579,4,bishan east,bishan,central region,1271.6,1101.0,835.6,605.5,916.6
sengkang,203B,compassvale road,542203,1.386899,103.894772,16,sengkang town centre,sengkang,north-east region,4015.0,616.9,721.6,589.1,800.5
sengkang,415C,fernvale link,793415,1.38932,103.880501,21,fernvale,sengkang,north-east region,4388.2,2373.1,952.3,335.6,760.6
jurong west,217A,boon lay avenue,641217,1.349758,103.711296,15,boon lay place,jurong west,west region,845.4,724.4,1021.2,868.2,1778.8
tampines,230C,tampines street 24,526230,1.355428,103.951447,12,tampines east,tampines,east region,2024.9,473.3,453.1,499.3,451.3
punggol,408B,northshore drive,822408,1.417205,103.9032,20,northshore,punggol,north-east region,7677.4,1030.0,218.9,1679.2,1452.9
tampines,164,tampines street 12,521164,1.349622,103.946001,11,tampines east,tampines,east region,917.2,815.1,340.0,388.1,505.9
punggol,261A,punggol way,821261,1.40597,103.896803,17,matilda,punggol,north-east region,6274.3,793.9,374.7,619.6,846.4
jurong east,310,jurong east street 32,600310,1.348208,103.733799,13,yuhua west,jurong east,west region,549.2,1057.1,128.1,876.3,2307.0
yishun,817,yishun street 81,760817,1.412052,103.833971,4,yishun south,yishun,north region,2871.9,813.6,1356.2,922.5,2230.6
bukit batok,463A,bukit batok street 41,651463,1.356332,103.742195,17,brickworks,bukit batok,west region,1950.2,1230.9,1173.7,1329.4,1484.1
bukit merah,5,everton park,080005,1.276684,103.839459,12,everton park,bukit merah,central region,857.6,811.8,504.1,1753.1,1192.7
toa payoh,179,toa payoh central,310179,1.333901,103.850093,25,toa payoh central,toa payoh,central region,432.5,428.3,870.4,991.2,696.8
serangoon,524,serangoon north avenue 4,550524,1.372695,103.872857,12,serangoon north,serangoon,north-east region,1584.8,519.3,596.8,720.8,2796.1
jurong west,482,jurong west street 41,640482,1.347203,103.724769,4,hong kah,jurong west,west region,1092.5,675.1,529.0,285.4,2439.9
tampines,110,simei street 1,520110,1.342753,103.950195,4,simei,tampines,east region,1625.8,503.7,640.4,841.5,649.7
pasir ris,700,pasir ris drive 10,510700,1.380266,103.93832,15,pasir ris west,pasir ris,east region,5337.6,481.3,668.6,2645.2,2269.4
yishun,281,yishun street 22,760281,1.438965,103.837501,4,northland,yishun,north region,1788.3,1276.0,509.3,683.4,1292.7
jurong west,268B,boon lay drive,642268,1.347494,103.707941,16,boon lay place,jurong west,west region,793.5,1185.1,1021.0,410.3,1316.1
bedok,541,bedok north street 3,460541,1.331333,103.922954,11,bedok north,bedok,east region,731.6,1753.9,1462.9,1780.4,1754.3
bukit panjang,517,jelapang road,670517,1.388036,103.766708,17,saujana,bukit panjang,west region,6404.2,1554.7,702.5,498.3,1568.8
bukit panjang,466,segar road,670466,1.386943,103.773299,15,fajar,bukit panjang,west region,6376.7,2084.9,469.8,1005.0,2103.9
jurong west,670A,jurong west street 65,641670,1.344097,103.702861,16,jurong west central,jurong west,west region,1479.5,238.7,505.2,606.6,945.8
jurong west,661D,jurong west street 64,644661,1.336549,103.704583,16,jurong west central,jurong west,west region,1839.4,352.0,772.2,577.0,478.6
geylang,30,balam road,370030,1.329655,103.887184,10,macpherson,geylang,central region,413.5,727.0,1165.9,1722.8,3937.0
queenstown,15,ghim moh road,270015,1.309144,103.78842,14,ghim moh,queenstown,central region,432.8,689.5,1372.6,1603.6,577.7
bedok,127,bedok reservoir road,470127,1.332846,103.911171,4,kaki bukit,bedok,east region,684.8,719.2,502.1,1822.0,2977.9
yishun,639,yishun street 61,760639,1.42056,103.838449,12,yishun south,yishun,north region,2378.7,1159.2,914.6,410.0,1322.7
punggol,170B,punggol field,822170,1.393338,103.914701,18,punggol field,punggol,north-east region,5738.5,839.1,651.7,662.4,486.4
serangoon,253,serangoon central drive,550253,1.354039,103.870852,5,serangoon central,serangoon,north-east region,1505.5,925.8,844.6,835.9,632.1
jurong west,418,jurong west street 42,640418,1.351145,103.726473,4,hong kah,jurong west,west region,1095.6,1244.6,989.2,489.1,3025.4
bukit merah,103B,depot road,102103,1.280737,103.813136,20,depot road,bukit merah,central region,916.5,1872.3,1480.1,1542.1,2204.6
woodlands,31,marsiling drive,730031,1.442986,103.772343,14,north coast,woodlands,north region,796.4,2190.6,1885.0,1410.2,2158.8
woodlands,103,woodlands street 13,730103,1.436621,103.780977,4,woodlands west,woodlands,north region,632.5,1029.3,1048.3,951.4,889.7
hougang,405,hougang avenue 10,530405,1.37405,103.896459,13,hougang east,hougang,north-east region,2560.4,897.2,629.4,753.4,488.0
hougang,579,hougang avenue 4,530579,1.379039,103.886062,15,trafalgar,hougang,north-east region,2983.3,1559.1,355.4,830.8,1585.1
bedok,417,bedok north avenue 2,460417,1.327576,103.930482,25,bedok north,bedok,east region,389.7,590.2,393.6,1250.6,879.6
bukit panjang,133A,cashew road,671133,1.374673,103.770345,4,jelebu,bukit panjang,west region,4841.5,1140.8,334.0,1144.0,1909.4
kallang/whampoa,28,bendemeer road,330028,1.318698,103.863232,24,bendemeer,kallang,central region,77.0,715.7,493.4,1023.5,1456.5
tampines,254,simei street 1,520254,1.341866,103.952019,11,simei,tampines,east region,1748.2,597.3,429.5,685.9,575.5
tampines,165,tampines street 12,521165,1.34926,103.945859,11,tampines east,tampines,east region,957.0,854.9,379.7,427.9,545.7
choa chu kang,669,choa chu kang crescent,680669,1.402924,103.748269,17,yew tee,choa chu kang,west region,6751.0,856.3,154.8,557.6,3298.7
woodlands,673,woodlands drive 71,730673,1.439188,103.800068,12,woodlands east,woodlands,north region,2842.7,282.6,667.7,692.1,1996.5
ang mo kio,468,ang mo kio avenue 10,560468,1.364877,103.856287,4,chong boon,ang mo kio,north-east region,622.6,1228.4,1242.8,968.9,1691.4
toa payoh,10,joo seng road,360010,1.334618,103.880165,20,joo seng,toa payoh,central region,1542.1,1458.3,866.5,902.8,3066.0
toa payoh,80B,lorong 4 toa payoh,312080,1.335294,103.849888,13,toa payoh central,toa payoh,central region,431.3,929.9,688.1,1072.7,939.8
geylang,326,ubi avenue 1,400326,1.327172,103.903804,13,kampong ubi,geylang,central region,1375.0,738.4,515.0,583.4,3197.6
pasir ris,160,pasir ris street 13,510160,1.364296,103.962307,8,pasir ris drive,pasir ris,east region,3675.3,651.7,518.5,1043.3,606.6
bedok,136,bedok north avenue 3,460136,1.328155,103.935221,4,bedok north,bedok,east region,405.1,988.3,687.5,790.7,1306.1
woodlands,892A,woodlands drive 50,730892,1.437269,103.790432,11,midview,woodlands,north region,1753.2,1012.1,246.2,1239.1,893.5
bukit merah,110A,depot road,101110,1.281428,103.809243,26,depot road,bukit merah,central region,1240.5,1830.2,1502.2,1866.1,1704.7
jurong east,205,jurong east street 21,600205,1.337564,103.742881,10,toh guan,jurong east,west region,1303.1,361.4,915.2,1006.9,727.1
woodlands,869,woodlands street 83,730869,1.442594,103.793993,12,midview,woodlands,north region,2529.8,1235.9,341.1,441.3,1683.6
bukit merah,46,lengkok bahru,150046,1.287077,103.812706,12,alexandra hill,bukit merah,central region,690.2,1235.4,939.4,588.8,1266.8
yishun,607,yishun street 61,760607,1.421386,103.835604,12,yishun south,yishun,north region,2131.2,995.8,1056.2,546.0,1077.2
sengkang,112,rivervale walk,540112,1.38346,103.901384,17,rivervale,sengkang,north-east region,3859.3,1301.6,601.2,523.7,1622.6
bukit batok,132,bukit batok west avenue 6,650132,1.350652,103.745625,4,bukit batok central,bukit batok,west region,1651.2,842.3,668.9,677.5,736.8
bukit batok,144,bukit batok west avenue 6,650144,1.350043,103.744237,4,bukit batok west,bukit batok,west region,1564.2,881.2,568.1,583.0,775.7
pasir ris,126,pasir ris street 11,510126,1.365488,103.955273,11,pasir ris drive,pasir ris,east region,4261.4,1309.6,1012.6,497.3,1264.5
